Пол,Направление подготовки,Курс обучения,Сумма баллов ЕГЭ за 3 предмета,Принимали ли вы участие в олимпиадах по профильным предметам? / Математика,Принимали ли вы участие в олимпиадах по профильным предметам? / Информатика и программирование,Принимали ли вы участие в олимпиадах по профильным предметам? / Физика,"Какие увлечения у вас были, когда вы учились в школе? / Геймдев, VR, AR","Какие увлечения у вас были, когда вы учились в школе? / Спорт","Какие увлечения у вас были, когда вы учились в школе? / Программирование","Какие увлечения у вас были, когда вы учились в школе? / Робототехника","Какие увлечения у вас были, когда вы учились в школе? / 3D-моделирование","Какие увлечения у вас были, когда вы учились в школе? / Решение математических задач","Какие увлечения у вас были, когда вы учились в школе? / Творчество: музыка, рисование, танцы и т.п.","Какие увлечения у вас были, когда вы учились в школе? / Физика",Насколько вы любите заниматься ...? / Веб-разработкой,Насколько вы любите заниматься ...? / Системным администрированием,Насколько вы любите заниматься ...? / Математикой,Насколько вы любите заниматься ...? / Работой с компьютерным оборудованием и сборкой ПК,Насколько вы любите заниматься ...? / Биологией,Насколько вы любите заниматься ...? / Аналитикой данных,Насколько вы любите заниматься ...? / Разработка графических интерфейсов - GUI,Насколько вы любите заниматься ...? / Написанием серверной части приложений - Back,Насколько вы любите заниматься ...? / Написанием клиентской части приложений - Front,Насколько вы любите заниматься ...? / Экономикой и финансами,"Насколько вы любите заниматься ...? / Поиском ошибок и уязвимостей на сайтах, в играх или приложениях","Если бы вы могли выбрать только 1 сферу в IT, то что бы выбрали?","Вы поступили в университет, потому что сами этого хотели?",Вам важно получать хорошие отметки?
Мужской,Информатика и вычислительная техника,,231-260,Математика,Информатика и программирование,,,Спорт,Программирование,,,,,,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Искусственный интеллект и машинное обучение,Да,Да
Женский,Биотехнические системы и технологии,,201-230,Математика,,Физика,,Спорт,,,,Решение математических задач,"Творчество: музыка, рисование, танцы и т.п.",Физика,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Искусственный интеллект и машинное обучение,Да,Да
Женский,Информатика и вычислительная техника,,201-230,,,,,,,,,,,Физика,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Мобильная разработка,Да,Нет
Мужской,Информационная безопасность,,151-200,Математика,Информатика и программирование,,,Спорт,Программирование,,,Решение математических задач,,,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Информационные системы и технологии,,231-260,,,,"Геймдев, VR, AR",Спорт,,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",QA-тестировщик,Да,Да
Мужской,Информационная безопасность автоматизированных систем,,201-230,,,,"Геймдев, VR, AR",Спорт,Программирование,,,,,,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Кибербезопасность,Да,Да
Женский,Информатика и вычислительная техника,,201-230,,,,,Спорт,,,,,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Веб-разработка,Да,Нет
Женский,Информационная безопасность,,231-260,,Информатика и программирование,Физика,,,,,,,,,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Кибербезопасность,Да,Да
Мужской,Информатика и вычислительная техника,,231-260,,,,,,,,,,,,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Веб-разработка,Да,Нет
Мужской,Информатика и вычислительная техника,,231-260,,,,,,,,,,,,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Облачные вычисления и DevOps,Да,Нет
Женский,Информатика и вычислительная техника,,231-260,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Веб-разработка,Да,Да
Женский,Программная инженерия,,261-300,,,,,,,,,Решение математических задач,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Разработка UI/UX,Да,Да
Мужской,Информатика и вычислительная техника,,231-260,Математика,,,,,,,,,,,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Разработка игр,Да,Нет
Мужской,Программная инженерия,,261-300,,,,,,Программирование,Робототехника,,Решение математических задач,,,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Разработка игр,Да,Да
Женский,Информатика и вычислительная техника,,231-260,,,,,Спорт,,,3D-моделирование,Решение математических задач,,,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Искусственный интеллект и машинное обучение,Да,Да
Женский,Информатика и вычислительная техника,,231-260,Математика,Информатика и программирование,Физика,"Геймдев, VR, AR",,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Разработка игр,Да,Да
Мужской,Информатика и вычислительная техника,,201-230,,,,,,,,,Решение математических задач,,,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Веб-разработка,Да,Нет
Мужской,Информатика и вычислительная техника,4 Курс,231-260,,,,,Спорт,,,,,,,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Веб-разработка,Да,Нет
Женский,Информатика и вычислительная техника,4 Курс,151-200,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Разработка игр,Нет,Да
Мужской,Информационная безопасность автоматизированных систем,2 Курс,231-260,,,Физика,,,,,,,,,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Нет
Мужской,Информатика и вычислительная техника,4 Курс,231-260,,,,,Спорт,Программирование,,,,"Творчество: музыка, рисование, танцы и т.п.",,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Аналитика данных,Да,Да
Мужской,Информационная безопасность,2 Курс,201-230,,,,,Спорт,Программирование,Робототехника,,,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Информатика и вычислительная техника,4 Курс,261-300,,,,"Геймдев, VR, AR",,Программирование,Робототехника,,,,,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Веб-разработка,Да,Нет
Мужской,Информатика и вычислительная техника,4 Курс,261-300,,Информатика и программирование,,,Спорт,Программирование,,,,,,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Мобильная разработка,Да,Нет
Мужской,Информатика и вычислительная техника,2 Курс,231-260,Математика,Информатика и программирование,,,,Программирование,,,Решение математических задач,,,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Разработка игр,Да,Да
Мужской,Информационные системы и технологии,4 Курс,231-260,,,,,,Программирование,,,,,,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Облачные вычисления и DevOps,Да,Нет
Мужской,Информатика и вычислительная техника,4 Курс,231-260,Математика,,,,,Программирование,,,Решение математических задач,,,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Системное программирование,Да,Нет
Женский,Информационные системы и технологии,3 Курс,151-200,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",Физика,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Мобильная разработка,Да,Да
Мужской,Информационная безопасность,3 Курс,201-230,Математика,Информатика и программирование,Физика,"Геймдев, VR, AR",Спорт,Программирование,,,Решение математических задач,,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Разработка игр,Да,Да
