iter	Passed	Remaining
0	2	267
1	4	210
2	5	181
3	7	168
4	8	162
5	10	160
6	11	150
7	12	142
8	13	135
9	14	130
10	15	125
11	19	142
12	21	143
13	22	138
14	23	133
15	24	129
16	25	126
17	26	122
18	27	118
19	28	115
20	29	111
21	30	108
22	33	111
23	34	109
24	35	106
25	36	104
26	37	102
27	38	99
28	39	97
29	40	94
30	41	91
31	42	89
32	42	87
33	43	84
34	44	82
35	45	80
36	47	81
37	49	80
38	49	78
39	50	76
40	51	74
41	52	72
42	53	70
43	54	68
44	54	67
45	55	65
46	56	63
47	57	62
48	58	60
49	58	58
50	59	57
51	62	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	75	42
64	78	42
65	79	41
66	80	39
67	81	38
68	82	36
69	83	35
70	83	34
71	84	32
72	85	31
73	86	30
74	86	28
75	87	27
76	88	26
77	89	25
78	91	24
79	92	23
80	93	22
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	100	12
89	101	11
90	102	10
91	103	8
92	105	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	111	1
99	112	0
