iter	MAE
0	38.30490832
1	37.92240574
2	37.56145718
3	37.23581339
4	36.91976806
5	36.64547379
6	36.38366842
7	36.14372955
8	35.92143189
9	35.71054862
10	35.50765267
11	35.32171922
12	35.15100654
13	34.99529086
14	34.86431084
15	34.734912
16	34.61065712
17	34.48197944
18	34.38877456
19	34.29559074
20	34.20286615
21	34.1135275
22	34.01577126
23	33.94093119
24	33.86557534
25	33.80050238
26	33.74296655
27	33.68721683
28	33.63111442
29	33.57846323
30	33.53570043
31	33.49309414
32	33.43724795
33	33.39155892
34	33.347888
35	33.31271061
36	33.28429397
37	33.24887651
38	33.20907441
39	33.182044
40	33.1457186
41	33.11478582
42	33.09336405
43	33.06207072
44	33.04059813
45	33.01949287
46	33.00151987
47	32.98345349
48	32.96766773
49	32.95270981
50	32.94050659
51	32.92533614
52	32.91440633
53	32.90155487
54	32.88623965
55	32.87290726
56	32.86436048
57	32.85005245
58	32.83791675
59	32.82420038
60	32.8101755
61	32.80222963
62	32.78948414
63	32.78132194
64	32.77394005
65	32.76414428
66	32.75429988
67	32.7485843
68	32.73883544
69	32.73311699
70	32.72868971
71	32.71795545
72	32.71242561
73	32.70565789
74	32.70048386
75	32.69462936
76	32.68578795
77	32.67830685
78	32.66638475
79	32.66386642
80	32.66002792
81	32.65363633
82	32.6492707
83	32.64322483
84	32.63508354
85	32.63056443
86	32.62670969
87	32.62299478
88	32.61958642
89	32.61565866
90	32.61041967
91	32.60621918
92	32.60478266
93	32.60171987
94	32.59839602
95	32.59659852
96	32.59082605
97	32.58685117
98	32.5826254
99	32.57904112
100	32.5666809
101	32.55839255
102	32.55286006
103	32.54699421
104	32.54420413
105	32.53836316
106	32.52917919
107	32.52690537
108	32.52465917
109	32.5155931
110	32.51137285
111	32.50438387
112	32.50046909
113	32.49621553
114	32.49070437
115	32.48814861
116	32.47980392
117	32.46436132
118	32.45090927
119	32.44225219
120	32.42928895
121	32.42660939
122	32.41547159
123	32.41280491
124	32.40916659
125	32.40682576
126	32.39622867
127	32.38988255
128	32.38395212
129	32.38088587
130	32.37234075
131	32.36501961
132	32.35732677
133	32.35503903
134	32.34978387
135	32.33969861
136	32.33421446
137	32.32727026
138	32.32276899
139	32.31987481
140	32.31288698
141	32.30910293
142	32.30627395
143	32.302681
144	32.29370793
145	32.29093249
146	32.28959887
147	32.28699297
148	32.28053484
149	32.2723929
150	32.26397608
151	32.25925124
152	32.25801668
153	32.25602472
154	32.2526523
155	32.25039229
156	32.24732179
157	32.24472383
158	32.23900768
159	32.23479758
160	32.23217321
161	32.22974227
162	32.22595717
163	32.21923291
164	32.21540446
165	32.20956675
166	32.20290076
167	32.20055975
168	32.19646183
169	32.19280215
170	32.19083208
171	32.18438644
172	32.18134484
173	32.17878158
174	32.16969615
175	32.16894594
176	32.16729314
177	32.16475151
178	32.16247329
179	32.15851873
180	32.15697627
181	32.15544014
182	32.15318098
183	32.15161727
184	32.14817669
185	32.14666786
186	32.14537351
187	32.1406652
188	32.13963482
189	32.13717197
190	32.13413881
191	32.13087288
192	32.12951904
193	32.12575218
194	32.12368479
195	32.1170409
196	32.11359813
197	32.11236491
198	32.10890766
199	32.10646098
200	32.10181784
201	32.10050549
202	32.09955377
203	32.09760128
204	32.09074543
205	32.08672155
206	32.08411516
207	32.08285597
208	32.08080975
209	32.07890761
210	32.0783061
211	32.07638038
212	32.07123699
213	32.06978211
214	32.06709769
215	32.06649227
216	32.06111653
217	32.05919689
218	32.05769329
219	32.05498522
220	32.05418133
221	32.05176825
222	32.04942472
223	32.04493068
224	32.0431132
225	32.04259054
226	32.04080339
227	32.03513467
228	32.03343814
229	32.03077151
230	32.02844424
231	32.02609376
232	32.02475246
233	32.02374512
234	32.02291997
235	32.01936627
236	32.0187275
237	32.01766522
238	32.01687455
239	32.01593337
240	32.01287225
241	32.01172743
242	32.00994611
243	32.00606385
244	32.00172385
245	31.99851772
246	31.9969807
247	31.99390025
248	31.99194355
249	31.98994841
250	31.98762701
251	31.98610254
252	31.98205051
253	31.97902368
254	31.97793132
255	31.97331423
256	31.97088366
257	31.96894642
258	31.96711636
259	31.96557079
260	31.96480957
261	31.96071934
262	31.95801258
263	31.95528328
264	31.95016847
265	31.94839189
266	31.94728479
267	31.9436226
268	31.94111239
269	31.93795802
270	31.93646317
271	31.93487904
272	31.93028644
273	31.92930506
274	31.92727674
275	31.92347081
276	31.92178201
277	31.91734526
278	31.91210384
279	31.9106159
280	31.90885633
281	31.90279928
282	31.89818123
283	31.8917346
284	31.89017199
285	31.88843036
286	31.88670582
287	31.88358924
288	31.88131114
289	31.88025161
290	31.87831032
291	31.87749201
292	31.87487504
293	31.87056905
294	31.87010162
295	31.86866226
296	31.86719827
297	31.86417418
298	31.85615775
299	31.85286396
300	31.85236016
301	31.84961541
302	31.84329013
303	31.83948176
304	31.83696078
305	31.83369776
306	31.83136696
307	31.83049062
308	31.82872258
309	31.82817906
310	31.82518728
311	31.82165572
312	31.81686618
313	31.81621129
314	31.81440448
315	31.81323505
316	31.80526664
317	31.80420499
318	31.80337158
319	31.80208536
320	31.80110333
321	31.79944228
322	31.79694895
323	31.79438933
324	31.79285959
325	31.78984615
326	31.7868515
327	31.78401665
328	31.78063819
329	31.77997445
330	31.77315906
331	31.77138684
332	31.76983833
333	31.76861405
334	31.76678315
335	31.76496187
336	31.76360715
