iter	Passed	Remaining
0	140	140728
1	279	139359
2	430	143229
3	594	148050
4	726	144495
5	867	143768
6	1078	153055
7	1223	151667
8	1368	150686
9	1501	148694
10	1652	148596
11	1800	148254
12	1944	147603
13	2078	146364
14	2209	145067
15	2346	144328
16	2487	143830
17	2627	143344
18	2773	143185
19	2898	142002
20	3071	143181
21	3194	142006
22	3320	141068
23	3457	140597
24	3597	140292
25	3759	140828
26	3900	140577
27	4052	140689
28	4186	140182
29	4336	140202
30	4467	139642
31	4597	139080
32	4746	139096
33	4883	138757
34	5022	138472
35	5163	138256
36	5313	138307
37	5467	138424
38	5612	138293
39	5743	137836
40	5891	137800
41	6044	137873
42	6221	138470
43	6374	138508
44	6527	138531
45	6680	138543
46	6856	139030
47	7015	139149
48	7162	139015
49	7302	138738
50	7439	138434
51	7577	138149
52	7725	138037
53	7886	138168
54	8040	138146
55	8195	138157
56	8354	138211
57	8522	138411
58	8685	138521
59	8833	138389
60	8991	138417
61	9148	138408
62	9305	138405
63	9534	139448
64	9716	139770
65	9864	139598
66	9995	139189
67	10137	138943
68	10296	138927
69	10446	138794
70	10596	138649
71	10726	138253
72	10877	138132
73	11039	138148
74	11194	138066
75	11355	138060
76	11510	137975
77	11638	137575
78	11788	137430
79	11928	137182
80	12065	136892
81	12230	136926
82	12364	136605
83	12500	136320
84	12638	136050
85	12795	135990
86	12951	135913
87	13129	136066
88	13300	136143
89	13459	136093
90	13614	135998
91	13761	135822
92	13931	135870
93	14098	135884
94	14249	135746
95	14402	135625
96	14550	135451
97	14725	135538
98	14914	135732
99	15089	135803
100	15340	136541
101	15495	136425
102	15654	136332
103	15791	136051
104	15927	135758
105	16081	135626
106	16234	135487
107	16375	135250
108	16505	134923
109	16639	134624
110	16785	134434
111	16933	134258
112	17081	134082
113	17228	133895
114	17370	133674
115	17515	133479
116	17671	133367
117	17800	133052
118	17940	132818
119	18076	132563
120	18213	132312
121	18354	132089
122	18485	131801
123	18610	131475
124	18761	131331
125	18903	131121
126	19031	130821
127	19172	130615
128	19312	130397
129	19463	130258
130	19594	129984
131	19715	129642
132	19856	129440
133	19992	129206
134	20123	128937
135	20250	128647
136	20385	128415
137	20521	128183
138	20648	127904
139	20797	127755
140	20923	127469
141	21050	127194
142	21199	127045
143	21349	126910
144	21502	126792
145	21638	126568
146	21775	126354
147	21926	126225
148	22069	126046
149	22215	125890
150	22371	125781
151	22520	125638
152	22658	125434
153	22794	125220
154	22931	125015
155	23080	124872
156	23223	124695
157	23361	124495
158	23504	124320
159	23647	124149
160	23797	124012
161	23946	123873
162	24094	123723
163	24225	123492
164	24372	123340
165	24509	123137
166	24662	123015
167	24812	122879
168	24958	122722
169	25093	122516
170	25229	122313
171	25368	122122
172	25501	121904
173	25648	121755
174	25795	121605
175	25930	121399
176	26073	121232
177	26219	121080
178	26373	120964
179	26519	120809
180	26663	120649
181	26806	120482
182	26959	120359
183	27103	120199
184	27238	119997
185	27388	119859
186	27518	119639
187	27665	119490
188	27817	119366
189	27958	119190
190	28110	119065
191	28264	118945
192	28413	118805
193	28560	118658
194	28709	118520
195	28856	118370
196	29019	118287
197	29166	118138
198	29309	117975
199	29444	117779
200	29582	117595
201	29716	117395
202	29865	117256
203	30021	117141
204	30161	116966
205	30292	116757
206	30439	116612
207	30594	116495
208	30741	116346
209	30879	116167
210	31012	115966
211	31147	115775
212	31294	115627
213	31431	115443
214	31580	115305
215	31730	115170
216	31875	115015
217	32027	114887
218	32155	114673
219	32297	114509
220	32447	114372
221	32593	114222
222	32734	114057
223	32898	113968
224	33046	113826
225	33195	113687
226	33356	113588
227	33518	113491
228	33688	113422
229	33838	113285
230	33991	113158
231	34142	113022
232	34291	112882
233	34430	112709
234	34565	112520
235	34718	112394
236	34851	112201
237	34992	112033
238	35110	111795
239	35242	111600
240	35399	111486
241	35540	111320
242	35683	111163
243	35829	111013
244	35977	110869
245	36120	110710
246	36251	110516
247	36398	110369
248	36543	110216
249	36695	110086
250	36854	109976
251	36992	109803
252	37144	109670
253	37289	109519
254	37429	109353
255	37589	109245
256	37748	109131
257	37888	108966
258	38023	108786
259	38177	108659
260	38325	108515
261	38481	108395
262	38631	108256
263	38789	108140
264	38937	107995
265	39084	107850
266	39228	107695
267	39371	107538
268	39521	107399
269	39669	107254
270	39825	107130
271	39985	107020
272	40129	106864
273	40258	106669
274	40416	106553
275	40564	106407
276	40708	106254
277	40842	106072
278	40988	105924
279	41126	105753
280	41282	105629
281	41430	105485
282	41578	105341
283	41727	105199
284	41874	105052
285	42008	104874
286	42166	104754
287	42310	104600
288	42459	104458
289	42607	104315
290	42765	104193
291	42910	104042
292	43045	103867
293	43190	103716
294	43337	103568
295	43490	103437
296	43646	103311
297	43791	103159
298	43931	102997
299	44069	102828
300	44219	102690
301	44368	102546
302	44505	102376
303	44667	102265
304	44825	102142
305	44967	101985
306	45116	101843
307	45248	101662
308	45397	101521
309	45537	101356
310	45685	101212
311	45844	101092
312	46006	100979
313	46140	100804
314	46280	100642
315	46429	100500
316	46563	100323
317	46704	100164
318	46862	100041
319	47005	99885
320	47142	99718
321	47280	99553
322	47434	99421
323	47587	99288
324	47730	99132
325	47883	98998
326	48039	98869
327	48182	98714
328	48330	98570
329	48479	98427
330	48619	98267
331	48770	98128
332	48927	98002
333	49086	97879
334	49236	97738
335	49380	97585
336	49519	97422
337	49657	97258
338	49817	97135
339	49947	96957
340	50090	96801
341	50228	96639
342	50361	96464
343	50519	96339
344	50673	96206
345	50819	96057
346	50952	95885
347	51094	95727
348	51247	95593
349	51384	95429
350	51534	95287
351	51679	95136
352	51827	94992
353	51957	94815
354	52100	94661
355	52255	94530
356	52414	94405
357	52564	94263
358	52721	94135
359	52874	93998
360	53013	93837
361	53180	93726
362	53329	93583
363	53483	93448
364	53617	93280
365	53766	93136
366	53912	92988
367	54070	92859
368	54215	92709
369	54364	92567
370	54517	92429
371	54663	92281
372	54823	92156
373	54960	91992
374	55109	91849
375	55262	91712
376	55422	91586
377	55560	91425
378	55723	91303
379	55882	91177
380	56020	91015
381	56174	90878
382	56313	90719
383	56473	90592
384	56624	90452
385	56765	90294
386	56896	90122
387	57037	89966
388	57193	89833
389	57335	89679
390	57481	89529
391	57634	89391
392	57770	89228
393	57932	89104
394	58086	88967
395	58232	88819
396	58382	88676
397	58525	88523
398	58677	88383
399	58838	88257
400	58983	88106
401	59130	87960
402	59275	87810
403	59427	87670
404	59578	87528
405	59726	87382
406	59873	87235
407	60010	87074
408	60150	86916
409	60292	86761
410	60430	86602
411	60588	86471
412	60753	86349
413	60897	86197
414	61042	86047
415	61201	85916
416	61333	85749
417	61483	85605
